date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:37	11422/11422	---M-Z	200	added ('OK')	text/html	etag:%222c9e-557c05d9dec5a-gzip%22	http://bccwallet.io/	G:/walet/bccwallet.io/index.html	(from )
11:25:37	285/285	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Oct%202017%2005:55:29%20GMT	http://bccwallet.io/robots.txt		(from )
11:25:38	236968/236968	---M-Z	200	added ('OK')	text/css	etag:%2239da8-55639eee53f34-gzip%22	http://bccwallet.io/assets/css/core.min.css	G:/walet/bccwallet.io/assets/css/core.min.css	(from http://bccwallet.io/)
11:25:39	116405/116405	---M-Z	200	added ('OK')	text/css	etag:%221c6b5-55636039f8a14-gzip%22	http://bccwallet.io/assets/css/thesaas.min.css	G:/walet/bccwallet.io/assets/css/thesaas.min.css	(from http://bccwallet.io/)
11:25:39	799/799	---M-Z	200	added ('OK')	text/css	etag:%2231f-55636039f8a14-gzip%22	http://bccwallet.io/assets/css/style.css	G:/walet/bccwallet.io/assets/css/style.css	(from http://bccwallet.io/)
11:25:40	306/306	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Oct%202017%2005:55:32%20GMT	http://bccwallet.io/assets/img/apple-touch-icon.png	G:/walet/bccwallet.io/assets/img/apple-touch-icon.png	(from http://bccwallet.io/)
11:25:41	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%22facbd9bccea83e604dbbe2f0b8c481fc%22	https://use.fontawesome.com/4d8e140c9d.js	G:/walet/use.fontawesome.com/4d8e140c9d.js	(from http://bccwallet.io/)
11:25:41	2944/2944	---M--	200	added ('OK')	image/png	etag:%22b80-557c065de0b7a%22	http://bccwallet.io/assets/img/favicon.png	G:/walet/bccwallet.io/assets/img/favicon.png	(from http://bccwallet.io/)
11:25:41	11422/11422	---M-Z	200	added ('OK')	text/html	etag:%222c9e-557c05d9dec5a-gzip%22	http://bccwallet.io/index.html	G:/walet/bccwallet.io/index-2.html	(from http://bccwallet.io/)
11:25:42	3274/3274	---M--	200	added ('OK')	image/png	etag:%22cca-55636039d9614%22	http://bccwallet.io/assets/img/logo.png	G:/walet/bccwallet.io/assets/img/logo.png	(from http://bccwallet.io/)
